user_id,timestamp,object_id,chapter,unit,dok_level,activity_type,time_spent,score,attempts,has_assessment,completed
1,2025-06-22 03:26:47.257357,1.1.1,1,1.1,1,video,15,,0,False,True
1,2025-06-25 00:06:47.257357,1.1.2,1,1.1,2,practice,12,57.89388765945104,2,True,False
1,2025-07-15 12:16:47.257357,1.1.2,1,1.1,2,practice,13,42.14611266079805,2,True,False
1,2025-07-12 17:38:47.257357,1.1.2,1,1.1,2,practice,35,45.550764426144106,3,True,False
1,2025-07-13 05:31:47.257357,1.1.2,1,1.1,2,practice,18,65.44163834889872,1,True,True
1,2025-07-06 18:35:47.257357,1.1.3,1,1.1,3,quiz,14,40.440227725269956,2,True,False
1,2025-07-14 19:23:47.257357,1.1.3,1,1.1,3,quiz,8,34.916266164387224,3,True,False
1,2025-06-27 12:06:47.257357,1.1.3,1,1.1,3,quiz,12,50.42696547144371,3,True,False
2,2025-07-05 16:07:47.257357,1.1.1,1,1.1,1,video,19,,0,False,True
2,2025-06-26 14:13:47.257357,1.1.1,1,1.1,1,video,12,,0,False,True
2,2025-07-17 19:09:47.257357,1.1.2,1,1.1,2,practice,39,49.16807697820958,2,True,False
2,2025-07-08 06:17:47.257357,1.1.2,1,1.1,2,practice,50,58.12800069070903,1,True,False
2,2025-07-20 15:30:47.257357,1.1.2,1,1.1,2,practice,25,47.92476257394483,3,True,False
2,2025-06-27 11:42:47.257357,1.1.2,1,1.1,2,practice,54,45.621169905546196,3,True,False
2,2025-06-27 14:40:47.257357,1.1.2,1,1.1,2,practice,18,46.67284212647246,3,True,False
2,2025-07-11 03:51:47.257357,1.1.2,1,1.1,2,practice,30,53.900869286602244,1,True,False
2,2025-07-07 22:20:47.257357,1.1.2,1,1.1,2,practice,28,41.075530142640325,1,True,False
2,2025-07-18 06:57:47.257357,1.1.2,1,1.1,2,practice,16,66.12798174195329,3,True,True
2,2025-06-24 15:31:47.257357,1.2.1,1,1.2,2,practice,19,51.97796972597541,3,True,False
2,2025-06-30 14:37:47.257357,1.2.1,1,1.2,2,practice,40,65.58690317307878,1,True,True
2,2025-07-14 04:27:47.257357,1.2.1,1,1.2,2,practice,27,57.21584011219708,3,True,False
2,2025-07-08 11:49:47.257357,1.2.1,1,1.2,2,practice,24,47.86206524743713,1,True,False
2,2025-06-29 15:56:47.257357,1.2.1,1,1.2,2,practice,14,56.65258710111644,3,True,False
2,2025-07-19 23:37:47.257357,1.2.1,1,1.2,2,practice,28,44.85963741408333,3,True,False
2,2025-06-28 14:50:47.257357,1.2.1,1,1.2,2,practice,45,55.005847874640466,3,True,False
3,2025-07-19 00:10:47.257357,1.1.1,1,1.1,1,video,27,,0,False,True
3,2025-06-24 04:52:47.257357,1.1.2,1,1.1,2,practice,26,44.91517248700739,2,True,False
3,2025-06-23 03:06:47.257357,1.1.2,1,1.1,2,practice,11,46.4588452561965,2,True,False
3,2025-07-06 07:09:47.257357,1.1.2,1,1.1,2,practice,36,68.36543419581335,3,True,True
3,2025-06-26 04:00:47.257357,1.2.1,1,1.2,2,practice,19,55.878162235519625,1,True,False
3,2025-07-15 07:45:47.257357,1.2.1,1,1.2,2,practice,13,53.58826499861735,2,True,False
3,2025-06-26 23:14:47.257357,1.2.1,1,1.2,2,practice,14,40.55839349214571,1,True,False
3,2025-07-19 05:07:47.257357,1.2.1,1,1.2,2,practice,16,45.88921394469069,3,True,False
3,2025-07-11 00:08:47.257357,1.2.1,1,1.2,2,practice,35,54.186234976990704,3,True,False
4,2025-06-27 12:35:47.257357,1.1.1,1,1.1,1,video,29,,0,False,True
4,2025-07-17 18:15:47.257357,1.1.2,1,1.1,2,practice,17,39.881515751962084,3,True,False
4,2025-07-22 01:58:47.257357,1.1.2,1,1.1,2,practice,22,53.17265370539271,1,True,False
4,2025-07-01 16:55:47.257357,1.1.2,1,1.1,2,practice,53,51.52506705000266,1,True,False
4,2025-07-08 12:58:47.257357,1.1.2,1,1.1,2,practice,62,33.66910721734475,1,True,False
4,2025-06-29 22:42:47.257357,1.1.2,1,1.1,2,practice,33,50.01355450500414,1,True,False
4,2025-07-15 12:17:47.257357,1.1.2,1,1.1,2,practice,52,31.19024417421295,3,True,False
4,2025-07-20 20:39:47.257357,1.1.2,1,1.1,2,practice,24,55.93800378254325,1,True,False
4,2025-06-26 10:50:47.257357,1.1.2,1,1.1,2,practice,19,57.869597848240446,2,True,False
4,2025-07-18 23:39:47.257357,1.1.2,1,1.1,2,practice,35,38.386045362650485,3,True,False
5,2025-06-25 10:37:47.257357,1.1.1,1,1.1,1,video,6,,0,False,True
5,2025-07-03 07:34:47.257357,1.1.2,1,1.1,2,practice,30,68.8278268939931,1,True,True
5,2025-06-30 00:31:47.257357,1.2.1,1,1.2,2,practice,16,77.42229074365996,3,True,True
5,2025-07-01 21:49:47.257357,1.2.2,1,1.2,2,practice,42,67.49715496299275,2,True,True
5,2025-06-29 22:48:47.257357,1.2.2,1,1.2,2,practice,32,83.99647229739998,2,True,True
5,2025-07-08 01:06:47.257357,2.1.1,2,2.1,1,video,26,,0,False,True
5,2025-06-22 14:41:47.257357,2.1.2,2,2.1,2,practice,40,83.7230204521642,3,True,True
5,2025-07-03 10:46:47.257357,2.1.3,2,2.1,3,quiz,34,70.83478277621111,2,True,True
5,2025-06-25 21:39:47.257357,2.2.1,2,2.2,2,practice,22,82.14690760099073,2,True,True
5,2025-07-09 01:54:47.257357,2.2.2,2,2.2,3,quiz,20,72.45965883600083,2,True,True
5,2025-07-11 16:01:47.257357,2.2.2,2,2.2,3,quiz,19,61.256368955869455,1,True,True
5,2025-07-17 16:20:47.257357,2.2.3,2,2.2,4,project,52,55.39370098295743,2,True,False
5,2025-07-08 13:32:47.257357,2.2.3,2,2.2,4,project,65,47.23086236376048,3,True,False
5,2025-07-08 19:22:47.257357,2.2.3,2,2.2,4,project,50,66.69282441391877,1,True,True
6,2025-07-17 12:24:47.258324,1.1.1,1,1.1,1,video,21,,0,False,True
6,2025-07-16 12:21:47.258324,1.1.2,1,1.1,2,practice,43,52.445609097926756,3,True,False
6,2025-07-06 03:29:47.258324,1.1.2,1,1.1,2,practice,45,47.41913284611767,2,True,False
6,2025-07-12 06:31:47.258324,1.1.2,1,1.1,2,practice,42,58.445839501620526,2,True,False
6,2025-06-24 20:00:47.258324,1.1.2,1,1.1,2,practice,21,49.23467344472996,2,True,False
6,2025-06-26 01:56:47.258324,1.1.2,1,1.1,2,practice,27,60.83596064300366,1,True,True
6,2025-07-09 12:08:47.258324,1.2.1,1,1.2,2,practice,15,51.32769077217532,2,True,False
6,2025-07-22 19:43:47.258324,1.2.1,1,1.2,2,practice,45,51.05481725999844,3,True,False
6,2025-07-03 07:30:47.258324,1.2.1,1,1.2,2,practice,27,55.79000342047404,2,True,False
6,2025-07-17 17:39:47.258324,1.2.1,1,1.2,2,practice,21,47.831445745064784,1,True,False
7,2025-07-20 09:59:47.258324,1.1.1,1,1.1,1,video,28,,0,False,True
7,2025-07-06 22:29:47.258324,1.1.2,1,1.1,2,practice,34,45.82039310186522,2,True,False
7,2025-07-22 17:44:47.258324,1.1.2,1,1.1,2,practice,42,45.07454860114876,1,True,False
7,2025-06-26 04:50:47.258324,1.1.2,1,1.1,2,practice,31,56.01281558817335,1,True,False
7,2025-07-14 06:31:47.258324,1.1.2,1,1.1,2,practice,27,57.311152947000735,3,True,False
7,2025-06-25 03:01:47.258324,1.1.2,1,1.1,2,practice,17,66.96034318248643,1,True,True
7,2025-07-04 10:27:47.258324,1.1.3,1,1.1,3,quiz,13,49.81216060826219,3,True,False
7,2025-06-25 20:31:47.258324,1.1.3,1,1.1,3,quiz,16,47.1060765747781,3,True,False
7,2025-07-09 23:04:47.258324,1.1.3,1,1.1,3,quiz,22,40.21085441681446,3,True,False
8,2025-07-17 23:59:47.258324,1.1.1,1,1.1,1,video,33,,0,False,True
8,2025-07-11 19:06:47.258324,1.2.1,1,1.2,2,practice,27,65.54127394356904,2,True,True
8,2025-07-02 06:38:47.258324,1.2.2,1,1.2,2,practice,51,56.686419691782774,2,True,False
8,2025-06-27 23:57:47.258324,1.2.2,1,1.2,2,practice,58,56.66797520165109,2,True,False
8,2025-07-07 18:27:47.258324,1.2.2,1,1.2,2,practice,45,42.80428937083541,1,True,False
