event_id,userid,timestamp,timecreated,eventname,archetype,knowledge_level,motivation
0,10000,2024-01-01 00:00:00,1704067200,quiz_attempt,Struggling but Trying,0.39252715186579845,1.0
1,10000,2024-01-01 00:36:00,1704069360,forum_post,Struggling but Trying,0.40277336734631514,1.0
2,10000,2024-01-01 01:12:00,1704071520,quiz_attempt,Struggling but Trying,0.3942871271897626,1.0
3,10000,2024-01-01 01:48:00,1704073680,assignment_submit,Struggling but Trying,0.40980253957661905,1.0
4,10000,2024-01-01 02:24:00,1704075840,quiz_attempt,Struggling but Trying,0.4352799227461122,1.0
5,10000,2024-01-01 03:00:00,1704078000,resource_view,Struggling but Trying,0.44129131454076675,1.0
6,10000,2024-01-01 03:36:00,1704080160,quiz_attempt,Struggling but Trying,0.436916361356381,1.0
7,10000,2024-01-01 04:12:00,1704082320,quiz_attempt,Struggling but Trying,0.45873534206959404,1.0
8,10000,2024-01-01 04:48:00,1704084480,quiz_attempt,Struggling but Trying,0.45903781885457595,1.0
9,10000,2024-01-01 05:24:00,1704086640,quiz_attempt,Struggling but Trying,0.4751306649583748,1.0
10,10000,2024-01-01 06:00:00,1704088800,quiz_attempt,Struggling but Trying,0.4884235891622782,1.0
11,10000,2024-01-01 06:36:00,1704090960,quiz_attempt,Struggling but Trying,0.5175046376726791,1.0
12,10000,2024-01-01 07:12:00,1704093120,quiz_attempt,Struggling but Trying,0.518376126346623,1.0
13,10000,2024-01-01 07:48:00,1704095280,assignment_submit,Struggling but Trying,0.5420572905210629,1.0
14,10000,2024-01-01 08:24:00,1704097440,assignment_submit,Struggling but Trying,0.5595567676276949,1.0
15,10000,2024-01-01 09:00:00,1704099600,forum_post,Struggling but Trying,0.5629247823721432,1.0
16,10000,2024-01-01 09:36:00,1704101760,quiz_attempt,Struggling but Trying,0.5549127083242786,1.0
17,10000,2024-01-01 10:12:00,1704103920,quiz_attempt,Struggling but Trying,0.5780490556572792,1.0
18,10000,2024-01-01 10:48:00,1704106080,assignment_submit,Struggling but Trying,0.5875538578283503,1.0
19,10000,2024-01-01 11:24:00,1704108240,resource_view,Struggling but Trying,0.6078859902709902,1.0
20,10000,2024-01-01 12:00:00,1704110400,quiz_attempt,Struggling but Trying,0.596269669930912,1.0
21,10000,2024-01-01 12:36:00,1704112560,resource_view,Struggling but Trying,0.6085339750703503,1.0
22,10000,2024-01-01 13:12:00,1704114720,resource_view,Struggling but Trying,0.6102078676994757,1.0
23,10000,2024-01-01 13:48:00,1704116880,resource_view,Struggling but Trying,0.6195094272229269,1.0
24,10000,2024-01-01 14:24:00,1704119040,resource_view,Struggling but Trying,0.6108849395947126,1.0
25,10000,2024-01-01 15:00:00,1704121200,quiz_attempt,Struggling but Trying,0.6190132637434933,1.0
26,10000,2024-01-01 15:36:00,1704123360,quiz_attempt,Struggling but Trying,0.6190278132676764,1.0
27,10000,2024-01-01 16:12:00,1704125520,video_view,Struggling but Trying,0.6279466507671895,1.0
28,10000,2024-01-01 16:48:00,1704127680,quiz_attempt,Struggling but Trying,0.6371518725039471,1.0
29,10000,2024-01-01 17:24:00,1704129840,quiz_attempt,Struggling but Trying,0.6411426750108805,1.0
30,10000,2024-01-01 18:00:00,1704132000,assignment_submit,Struggling but Trying,0.6606378527614224,1.0
31,10000,2024-01-01 18:36:00,1704134160,video_view,Struggling but Trying,0.6784985433478455,1.0
32,10000,2024-01-01 19:12:00,1704136320,video_view,Struggling but Trying,0.688317470843382,1.0
33,10000,2024-01-01 19:48:00,1704138480,resource_view,Struggling but Trying,0.6872225650688637,1.0
34,10000,2024-01-01 20:24:00,1704140640,quiz_attempt,Struggling but Trying,0.6861926827991487,1.0
35,10000,2024-01-01 21:00:00,1704142800,forum_post,Struggling but Trying,0.6952469053663827,1.0
36,10000,2024-01-01 21:36:00,1704144960,quiz_attempt,Struggling but Trying,0.6934225968246037,1.0
37,10000,2024-01-01 22:12:00,1704147120,quiz_attempt,Struggling but Trying,0.6981385787672368,1.0
38,10000,2024-01-01 22:48:00,1704149280,reading_complete,Struggling but Trying,0.7101061600285363,1.0
39,10000,2024-01-01 23:24:00,1704151440,quiz_attempt,Struggling but Trying,0.6946495828172575,1.0
40,10000,2024-01-02 00:00:00,1704153600,assignment_submit,Struggling but Trying,0.7032263203712898,1.0
41,10000,2024-01-02 00:36:00,1704155760,quiz_attempt,Struggling but Trying,0.7129013751821452,1.0
42,10000,2024-01-02 01:12:00,1704157920,quiz_attempt,Struggling but Trying,0.7246608211706507,1.0
43,10000,2024-01-02 01:48:00,1704160080,quiz_attempt,Struggling but Trying,0.7243069380700042,1.0
44,10000,2024-01-02 02:24:00,1704162240,video_view,Struggling but Trying,0.7117513778987097,1.0
45,10000,2024-01-02 03:00:00,1704164400,video_view,Struggling but Trying,0.7316073851977839,1.0
46,10000,2024-01-02 03:36:00,1704166560,resource_view,Struggling but Trying,0.7350500304049725,1.0
47,10000,2024-01-02 04:12:00,1704168720,resource_view,Struggling but Trying,0.728308499668124,1.0
48,10000,2024-01-02 04:48:00,1704170880,quiz_attempt,Struggling but Trying,0.7226608850514974,1.0
49,10000,2024-01-02 05:24:00,1704173040,video_view,Struggling but Trying,0.7196839582476492,1.0
50,10000,2024-01-02 06:00:00,1704175200,quiz_attempt,Struggling but Trying,0.7139698394268459,1.0
51,10000,2024-01-02 06:36:00,1704177360,assignment_submit,Struggling but Trying,0.7087555016350834,1.0
52,10000,2024-01-02 07:12:00,1704179520,video_view,Struggling but Trying,0.7169764622009484,1.0
53,10000,2024-01-02 07:48:00,1704181680,quiz_attempt,Struggling but Trying,0.7224336463193707,1.0
54,10000,2024-01-02 08:24:00,1704183840,assignment_submit,Struggling but Trying,0.719239034643635,1.0
55,10000,2024-01-02 09:00:00,1704186000,video_view,Struggling but Trying,0.7190207872972055,1.0
