Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
0,0.25,0.5,0,2,6,view_content (current),71.61419444526535
0,0.25,0.5,0,2,2,attempt_quiz (past),71.1385709059688
0,0.25,0.5,0,2,13,attempt_quiz (future),71.45842001387885
0,0.25,0.5,0,2,0,view_assignment (past),72.54938195043418
0,0.25,0.5,0,2,4,post_forum (past),72.79660692852046
0,0.25,0.5,0,2,7,submit_assignment (current),77.20939377391106
0,0.25,0.5,0,2,12,view_content (future),71.4024769239193
0,0.25,0.5,0,2,9,submit_quiz (current),75.1286997537886
0,0.25,0.5,0,2,5,view_assignment (current),71.45546119839565
0,0.25,0.5,0,2,14,post_forum (future),70.40302264194763
0,0.25,0.5,0,2,3,review_quiz (past),71.89060818754102
0,0.25,0.5,0,2,11,post_forum (current),73.0262933432005
0,0.25,0.5,0,2,8,attempt_quiz (current),73.98833183050371
0,0.25,0.5,0,2,1,view_content (past),70.09178246702483
0,0.25,0.5,0,2,10,review_quiz (current),71.24742388898446
0,0.25,0.75,1,2,0,view_assignment (past),71.14999334505524
0,0.25,0.75,1,2,2,attempt_quiz (past),70.73019694886834
0,0.25,0.75,1,2,14,post_forum (future),71.67919703389771
0,0.25,0.75,1,2,5,view_assignment (current),68.91480046280937
0,0.25,0.75,1,2,6,view_content (current),70.48321619735916
0,0.25,0.75,1,2,13,attempt_quiz (future),72.58171462529442
0,0.25,0.75,1,2,4,post_forum (past),71.50356769406756
0,0.25,0.75,1,2,1,view_content (past),71.74697024395417
0,0.25,0.75,1,2,3,review_quiz (past),73.53094058148984
0,0.25,0.75,1,2,11,post_forum (current),74.57545220202677
0,0.25,0.75,1,2,7,submit_assignment (current),76.38308942844799
0,0.25,0.75,1,2,10,review_quiz (current),74.9391992267718
0,0.25,0.75,1,2,8,attempt_quiz (current),74.75080211680968
0,0.25,0.75,1,2,9,submit_quiz (current),82.57790803017767
0,0.25,0.75,1,2,12,view_content (future),71.64614740864661
0,0.5,0.75,0,2,3,review_quiz (past),48.31511537528044
0,0.5,0.75,0,2,11,post_forum (current),58.40090665673843
0,0.5,0.75,0,2,10,review_quiz (current),54.65570118473083
0,0.5,0.75,0,2,1,view_content (past),51.57282416563137
0,0.5,0.75,0,2,0,view_assignment (past),54.040520109144175
