actions,finalgrade,userid,cluster,group
1120.0975752922436,8.772004655536254,10000,0,giỏi
764.9118602750352,8.81784103421116,10001,0,giỏi
990.7227732524464,8.265661283582856,10002,0,giỏi
990.5637389041299,8.075160664176586,10003,0,giỏi
1495.5730636054018,9.373818370601477,10004,0,giỏi
643.4111096051771,7.511127067355309,10005,0,giỏi
953.3420267581566,8.132076848112334,10006,0,giỏi
1030.718645997865,7.527201527922927,10007,0,giỏi
996.6918856833327,8.806315000854346,10008,0,giỏi
192.4040937707826,8.065607448975403,10009,0,giỏi
813.0881624552165,8.128162149163908,10010,0,giỏi
987.3479321569603,8.965734547576638,10011,0,giỏi
771.1254011918843,8.03725638741481,10012,0,giỏi
1099.9824580368077,8.526524061041432,10013,0,giỏi
975.8764225624068,8.50176996809321,10014,0,giỏi
896.8284343609383,8.626962304427872,10015,0,giỏi
1154.4600491321976,9.168443727315726,10016,0,giỏi
132.6473006754639,8.39929065756986,10017,0,giỏi
780.8906655636835,8.769181976511524,10018,0,giỏi
1104.8155013976993,7.851990191910908,10019,0,giỏi
648.6722667388237,7.985759312979987,10020,0,giỏi
1186.135070714413,8.252413820058973,10021,0,giỏi
1125.8493699384342,8.688571048129106,10022,0,giỏi
689.0524597839027,8.698549725893082,10023,0,giỏi
610.9436673621058,8.572693848160375,10024,0,giỏi
896.8869642986767,8.143657804468702,10025,0,giỏi
1215.799750787779,9.221181281511372,10026,0,giỏi
888.2564348741107,8.23844653003178,10027,0,giỏi
548.1473215570925,7.733483975457942,10028,0,giỏi
628.5548585954202,8.368006740350982,10029,0,giỏi
1103.6110730345727,8.570446428203699,10030,0,giỏi
590.855981913657,8.57599396387268,10031,0,giỏi
461.46486756393324,8.254162321486577,10032,0,giỏi
-5.5038838601782345,7.279861747799655,10033,0,giỏi
942.0878041255935,8.448323939686446,10034,0,giỏi
1193.540367492952,9.176092889097921,10035,0,giỏi
612.7525390285614,8.222901077994228,10036,0,giỏi
984.4338189548913,7.797770816039013,10037,0,giỏi
1036.2283474117498,8.907623609065102,10038,0,giỏi
897.0447422039911,8.237611628175983,10039,0,giỏi
707.9097778290547,8.842700777091439,10040,0,giỏi
774.3572412687695,8.49324591679341,10041,0,giỏi
493.5883807326845,8.20225682188584,10042,0,giỏi
915.399618353681,8.777249874916885,10043,0,giỏi
907.9446131764837,8.274510925660088,10044,0,giỏi
520.9975044703403,8.001081829616316,10045,0,giỏi
1509.735464197987,9.096497694275289,10046,0,giỏi
942.581026665213,8.339779953145296,10047,0,giỏi
727.597856728815,8.226484353629395,10048,0,giỏi
798.1310811551998,7.397065032149218,10049,0,giỏi
1071.3657270442839,9.250830854110383,10050,0,giỏi
855.1445877626063,7.609150498961641,10051,0,giỏi
1117.523305932763,8.144062806818228,10052,0,giỏi
817.6420048951263,8.171333421864912,10053,0,giỏi
1007.5290350201085,8.531615692381392,10054,0,giỏi
721.8516816329479,8.1775192061496,10055,0,giỏi
988.5825954699872,8.313423912733565,10056,0,giỏi
755.2762160927207,8.324360042169264,10057,0,giỏi
653.7239539681685,7.697903401739293,10058,0,giỏi
1032.5467943828044,8.918722283997838,10059,0,giỏi
1035.8077722063713,9.212859697004243,10060,0,giỏi
478.33492519802223,8.770731496644308,10061,0,giỏi
1063.0527449148135,8.610863779725191,10062,0,giỏi
960.5045750353767,8.932668469726321,10063,0,giỏi
405.1236295933682,8.464590598773569,10064,0,giỏi
840.8056053140854,8.221876934616175,10065,0,giỏi
683.9903977756151,7.687246396368127,10066,0,giỏi
710.737219917881,7.855723463185678,10067,0,giỏi
685.2356708869733,8.195030915371182,10068,0,giỏi
944.0979675177163,8.056385393033148,10069,0,giỏi
928.0425735298602,8.731529158383545,10070,0,giỏi
574.460871560502,8.434429242050797,10071,0,giỏi
482.3313776338147,9.321234760271802,10072,0,giỏi
924.1747000843923,8.364790099117098,10073,0,giỏi
1198.0854667335059,9.250472440556475,10074,0,giỏi
517.7454435323102,7.72397978425474,10075,0,giỏi
678.2326268784551,8.847054189668324,10076,0,giỏi
779.1514564242214,8.751392805179588,10077,0,giỏi
803.7379688081296,7.785941589919161,10078,0,giỏi
568.590718072209,8.81087540638732,10079,0,giỏi
660.9105603995997,7.79685500783581,10080,0,giỏi
1037.1339015769051,8.013952286126818,10081,0,giỏi
639.469133048694,8.840526195261516,10082,0,giỏi
728.5700316887383,8.755363598826534,10083,0,giỏi
1059.3821870526847,8.640839663144064,10084,0,giỏi
1191.3819143885298,8.308540052433578,10085,0,giỏi
620.4830945556105,8.10567785151297,10086,0,giỏi
532.5908172293488,8.406418306250671,10087,0,giỏi
149.90840202581722,7.8882098550477,10088,0,giỏi
1196.4697130371455,8.66444985930032,10089,0,giỏi
1078.8030000287674,9.053110499439008,10090,0,giỏi
831.2306550290708,8.323151129543863,10091,0,giỏi
868.2576718717316,8.771603712400712,10092,0,giỏi
950.9772027196904,8.855315141998801,10093,0,giỏi
578.9058688118147,8.023468813792663,10094,0,giỏi
1077.8327977860938,8.341191737264367,10095,0,giỏi
661.1925100991009,8.296729291287463,10096,0,giỏi
672.0271946308,9.102592636905547,10097,0,giỏi
787.2732556404272,7.96743720461812,10098,0,giỏi
573.7028751466258,8.207096663348246,10099,0,giỏi
614.7238085437727,8.724233151037112,10100,0,giỏi
1075.5177835378524,9.243676184467937,10101,0,giỏi
615.8486260712203,7.928109632908229,10102,0,giỏi
762.7243875550497,8.456589347246698,10103,0,giỏi
830.1226083390993,8.803878440459117,10104,0,giỏi
477.9913224423254,8.109483419975648,10105,0,giỏi
499.37589538308674,8.594708858479581,10106,0,giỏi
781.4028791983116,8.432867689471182,10107,0,giỏi
1140.5906080996933,7.9200015201602945,10108,0,giỏi
804.1891592710373,7.95854742322246,10109,0,giỏi
854.0756089869235,8.151784870959412,10110,0,giỏi
1290.773671391812,8.926907727991326,10111,0,giỏi
945.3099230256609,8.518221736723879,10112,0,giỏi
1068.5163726103447,8.418754308425665,10113,0,giỏi
446.23865652948416,8.141936297766586,10114,0,giỏi
709.3930527209423,7.684667567792894,10115,0,giỏi
227.3178729515039,8.785138581790502,10116,0,giỏi
492.0489698804025,8.512757815501418,10117,0,giỏi
834.7558129523043,8.602453335545222,10118,0,giỏi
579.8956962624044,7.887568763127022,10119,0,giỏi
962.7009033295373,7.697304454441057,10120,0,giỏi
1026.6715868624694,9.337878120432697,10121,0,giỏi
927.2675437517086,8.313824684080803,10122,0,giỏi
190.33157418566168,4.225146701722662,10123,1,khá
89.0022857677215,5.93980482399507,10124,1,khá
175.42216822193592,6.188909563777114,10125,1,khá
436.3673521553351,6.35654967350912,10126,1,khá
350.50573012999706,4.457148439291279,10127,1,khá
269.27851159468946,6.340483000368856,10128,1,khá
240.83017521731682,4.644721121853943,10129,1,khá
434.93065664935,5.181846368815342,10130,1,khá
544.3786246090732,4.483354491629923,10131,1,khá
-2.7388457982506225,5.955886378459708,10132,1,khá
256.7107852801068,4.929250823024333,10133,1,khá
223.06610204144505,6.618169071824321,10134,1,khá
172.49215104562575,5.741413576269206,10135,1,khá
267.13091126656354,5.2486356319526895,10136,1,khá
136.7470973908679,5.262085362048244,10137,1,khá
524.8441613333451,6.0347006389429145,10138,1,khá
326.7718977064293,6.496093115886993,10139,1,khá
130.75991661296126,5.2276805698162425,10140,1,khá
169.02917989780292,5.1271115505583,10141,1,khá
310.4115985387291,5.345619574678358,10142,1,khá
101.32848242556139,4.899140008150528,10143,1,khá
332.23147150452314,5.010613089325972,10144,1,khá
87.65604085062614,6.051712896438151,10145,1,khá
179.66111948520842,5.544917450264707,10146,1,khá
331.19268487476927,5.752989281280851,10147,1,khá
152.85980444334444,4.7613489545881285,10148,1,khá
512.4547555468815,4.525010330102462,10149,1,khá
336.7440655245443,5.925948036280036,10150,1,khá
-1.1171143054757522,4.8939093948167285,10151,1,khá
298.27717462092954,5.375771440782372,10152,1,khá
