user_id,total_time,avg_score,completion_rate,avg_attempts,dok_1_time,dok_2_time,dok_3_time,dok_4_time,sessions_count,avg_session_length,video_time,practice_time,quiz_time,project_time,cluster
1,127,48.11655177948468,0.25,2.0,15,78,34,0,8,15.875,15,78,34,0,0
2,488,52.51867227297377,0.23529411764705882,2.0,31,457,0,0,17,28.705882352941178,31,457,0,0,2
3,197,51.22996519837267,0.2222222222222222,1.8888888888888888,27,170,0,0,9,21.88888888888889,27,170,0,0,0
4,346,45.738421044150385,0.1,1.6,29,317,0,0,10,34.6,29,317,0,0,2
5,454,69.79015593999323,0.8571428571428571,1.7142857142857142,32,182,73,167,14,32.42857142857143,32,182,73,167,1
6,307,52.70946363679013,0.2,1.8,21,286,0,0,10,30.7,21,286,0,0,2
7,230,51.03854312756616,0.2222222222222222,1.8888888888888888,28,151,51,0,9,25.555555555555557,28,151,51,0,0
8,870,53.46663627687397,0.45,1.5,169,701,0,0,20,43.5,169,701,0,0,2
9,251,63.90253489377215,0.7692307692307693,1.3076923076923077,72,110,69,0,13,19.307692307692307,72,110,48,21,0
10,314,75.90665727144723,0.9285714285714286,0.8571428571428571,132,149,33,0,14,22.428571428571427,132,149,33,0,0
11,166,67.20332755555435,1.0,1.125,50,103,13,0,8,20.75,50,103,13,0,0
12,265,42.52333642958955,0.18181818181818182,1.7272727272727273,16,37,212,0,11,24.09090909090909,16,37,212,0,1
13,951,51.637893093976665,0.2777777777777778,1.8888888888888888,65,886,0,0,18,52.833333333333336,65,886,0,0,2
14,74,36.47556339404978,0.3333333333333333,2.0,11,63,0,0,3,24.666666666666668,11,63,0,0,0
15,112,47.04504448551564,0.25,1.0,10,102,0,0,4,28.0,10,102,0,0,0
16,410,48.771989333270085,0.16666666666666666,2.0833333333333335,25,385,0,0,12,34.166666666666664,25,385,0,0,2
17,167,46.01941738136016,0.3333333333333333,1.6666666666666667,24,143,0,0,6,27.833333333333332,24,143,0,0,0
18,471,51.0299646632459,0.4166666666666667,1.75,30,260,181,0,12,39.25,30,260,0,181,1
19,205,50.684373890609145,0.25,1.625,18,156,31,0,8,25.625,18,156,31,0,0
20,67,63.44993304937542,0.6666666666666666,1.3333333333333333,18,49,0,0,3,22.333333333333332,18,49,0,0,0
