started,\mod_data\event\record_created,module_count,mean_module_grade,viewed,\mod_resource\event\course_module_viewed,submission_status,created,\mod_assign\event\course_module_viewed,course,\mod_page\event\course_module_viewed,attempt_summary,\mod_folder\event\course_module_viewed,\mod_quiz\event\course_module_viewed,submission_form,userid,cluster,group
0.00022616742175751714,0.0009258704243766402,0.05526247884061819,0.27884565689971097,0.08302041618633693,0.07757552556824204,0.12369104816694526,0.07165905013075213,0.07059028325892402,0.04901590476458967,2.9785787910185935e-05,0.0,0.014196891277762913,0.0,0.0,100000,0,nhóm_6
0.0,0.0006907684421694205,0.44618971089095505,0.30396474805674695,0.23488734833991093,0.1579693807635781,0.3178027918969479,0.16604718062431537,0.2201073278017563,0.15996255579124105,0.046892636547818556,0.0,0.07436710032120905,0.10885952909586782,0.13001230915413126,100001,0,nhóm_6
0.0,0.0007604644836204377,0.3284113761571934,1.0,0.028080338627443857,0.0,0.03177647829365632,0.1361771696529218,0.029832814812768282,0.014878970697421667,0.05252012105451484,5.132579619121502e-05,0.011557219175555744,0.019980410006019966,0.05884773231305232,100002,0,nhóm_6
0.0,0.0,0.3520976534103434,0.5047774624530127,0.252452600472572,0.1943727492144611,0.3558790189894433,0.18016944605362104,0.23408718192027947,0.15867240046943604,0.022289962661524887,0.0,0.06392723682462315,0.02896223210865112,0.08622929735677415,100003,0,nhóm_6
0.0,0.0006746272190747415,0.5817509564282023,0.4359988019170087,0.08884292282654005,0.014555612569907839,0.10605604141893221,0.18351773702621088,0.09197210418850388,0.06758822279106319,0.03182164221111117,0.0004611765176321114,0.03871566531669077,0.16014838577505677,0.13872832683008998,100004,0,nhóm_6
0.00024487864545585936,0.0002749223169224435,0.024981851470433858,0.22994329361024102,0.0,0.0,0.0,0.016158198833258364,0.010638916520872788,0.0,0.0024700955100531163,0.0002745903427966989,0.0,0.0,0.08137276367860116,100005,0,nhóm_6
0.0006907607467848687,0.00019926410580095588,0.2502241121545107,0.6068208594834678,0.0,0.0,0.0,0.11086242700009824,0.0,0.0,0.025571308101274337,0.0,0.0,0.008575445578542451,0.10083195017254232,100006,0,nhóm_6
0.0,0.0,0.0,0.8009747412881612,0.0,0.0,0.0,0.03311570402923708,0.0,0.0,0.017524504736908697,0.0,0.0,0.0,0.00019258045336661977,100007,0,nhóm_6
0.0007567892975542945,0.0002375790887026441,0.0,0.0613976617413905,0.15173479345301039,0.13778834280724367,0.20083382304399022,0.0,0.10708618832828148,0.12940702369029272,0.11167015949557016,2.054583945898525e-05,0.0784248913923079,0.027098971413566708,0.0,100008,0,nhóm_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004415251157505851,0.0,0.0,0.0,0.0187678566800607,100009,0,nhóm_6
