grade_id,userid,timestamp,timemodified,finalgrade,knowledge_at_time
0,10000,2024-01-01 00:00:00,1704067200,6.692890884605914,0.39252715186579845
1,10000,2024-01-01 01:12:00,1704071520,6.373412169485223,0.3942871271897626
2,10000,2024-01-01 01:48:00,1704073680,6.434451602116325,0.40980253957661905
3,10000,2024-01-01 02:24:00,1704075840,4.821296278781882,0.4352799227461122
4,10000,2024-01-01 03:36:00,1704080160,6.019749571509423,0.436916361356381
5,10000,2024-01-01 04:12:00,1704082320,7.313524066907576,0.45873534206959404
6,10000,2024-01-01 04:48:00,1704084480,6.678007592397898,0.45903781885457595
7,10000,2024-01-01 05:24:00,1704086640,7.298091653971687,0.4751306649583748
8,10000,2024-01-01 06:00:00,1704088800,6.179485185139755,0.4884235891622782
9,10000,2024-01-01 06:36:00,1704090960,6.579619666998098,0.5175046376726791
10,10000,2024-01-01 07:12:00,1704093120,6.4405280707528965,0.518376126346623
11,10000,2024-01-01 07:48:00,1704095280,6.570931908798735,0.5420572905210629
12,10000,2024-01-01 08:24:00,1704097440,6.107174585139159,0.5595567676276949
13,10000,2024-01-01 09:36:00,1704101760,6.4952861110935345,0.5549127083242786
14,10000,2024-01-01 10:12:00,1704103920,7.933420487998221,0.5780490556572792
15,10000,2024-01-01 10:48:00,1704106080,7.5042890034825165,0.5875538578283503
16,10000,2024-01-01 12:00:00,1704110400,8.096363752396567,0.596269669930912
17,10000,2024-01-01 15:00:00,1704121200,8.109191661741615,0.6190132637434933
18,10000,2024-01-01 15:36:00,1704123360,7.708078734473942,0.6190278132676764
19,10000,2024-01-01 16:48:00,1704127680,6.752835340811005,0.6371518725039471
20,10000,2024-01-01 17:24:00,1704129840,8.353049908145511,0.6411426750108805
21,10000,2024-01-01 18:00:00,1704132000,8.943151225714258,0.6606378527614224
22,10000,2024-01-01 20:24:00,1704140640,9.285812650041763,0.6861926827991487
23,10000,2024-01-01 21:36:00,1704144960,8.264002548084294,0.6934225968246037
